层编号,模块名称,原始维度,剪枝后维度,保留率,稀疏度
18,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
18,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
19,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
19,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
19,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
19,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
19,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
19,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
19,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
20,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
20,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
20,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
20,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
20,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
20,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
20,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
21,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
21,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
21,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
21,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
21,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
21,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
21,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
22,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
22,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
22,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
22,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
22,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
22,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
22,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
23,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
23,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
23,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
